ranks,titles,index,gross,theaters,per_theater,total_gross
-,Human Capital,198,"$6,596",5,"$1,319","$6,596"
-,I Still Believe,198,"$6,123",41,$149,"$10,344,192"
-,The Truth,198,"$2,933",12,$244,"$8,206"
-,Guest Artist,198,"$1,638",2,$819,"$3,424"
-,The Painted Bird,198,$754,6,$126,$754
1,The Rental,205,"$598,510",250,"$2,394","$598,510"
2,The Big Ugly,205,"$229,382",68,"$3,373","$229,382"
-,Relic,205,"$90,683",85,"$1,067","$993,077"
-,The Wretched,205,"$29,540",24,"$1,231","$1,777,888"
-,The Outpost,205,"$18,021",63,$286,"$156,358"
-,The Gentlemen,205,"$10,320",29,$356,"$36,342,801"
-,Followed,205,"$6,773",6,"$1,129","$534,302"
-,I Still Believe,205,"$3,792",25,$152,"$10,347,984"
-,Guest Artist,205,"$1,293",1,"$1,293","$4,717"
-,The Truth,205,$719,6,$120,"$8,925"
-,The Painted Bird,205,$706,8,$88,"$1,460"
1,The Rental,212,"$456,222",242,"$1,885","$1,054,732"
2,The Big Ugly,212,"$145,168",68,"$2,135","$374,550"
-,Summerland,212,"$38,335",99,$387,"$38,335"
-,The Wretched,212,"$20,362",22,$926,"$1,798,250"
-,Relic,212,"$14,395",36,$400,"$1,007,472"
-,The Outpost,212,"$12,773",43,$297,"$169,131"
-,The Gentlemen,212,"$9,403",36,$261,"$36,352,204"
-,I Still Believe,212,"$4,575",32,$143,"$10,352,559"
-,Killer Raccoons 2: Dark Christmas in the Dark,212,"$4,476",4,"$1,119","$4,476"
-,What We Found,212,"$3,931",8,$491,"$3,931"
-,Followed,212,"$3,389",6,$565,"$537,691"
-,Guest Artist,212,"$1,189",1,"$1,189","$5,906"
-,The Truth,212,$429,5,$86,"$9,354"
1,The Tax Collector,219,"$430,423",129,"$3,337","$430,423"
-,The Rental,219,"$224,544",178,"$1,261","$1,279,276"
-,Train to Busan Presents: Peninsula,219,"$194,086",48,"$4,043","$194,086"
-,The Big Ugly,219,"$105,583",36,"$2,933","$480,133"
-,Made in Italy,219,"$52,332",111,$471,"$52,332"
-,The Burnt Orange Heresy,219,"$40,988",110,$373,"$80,881"
-,Becky,219,"$39,081",15,"$2,605","$1,002,852"
-,Relic,219,"$26,414",31,$852,"$1,033,886"
-,Juvenile Delinquents,219,"$16,060",1,"$16,060","$16,060"
-,Summerland,219,"$11,949",68,$176,"$50,284"
-,The Outpost,219,"$7,732",26,$297,"$176,863"
-,The Wretched,219,"$7,642",16,$478,"$1,805,892"
-,I Still Believe,219,"$7,328",24,$305,"$10,359,887"
-,The Gentlemen,219,"$7,145",38,$188,"$36,359,349"
