Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/8/7,-,Relic,"$26,414","$1,033,886","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/8/7,-,Juvenile Delinquents,"$16,060","$16,060",Drama,English,Neil Goss,,$34.3K,1h 58m,,"Big Bull Productions, Buffalo 8 Productions"
2020/8/7,-,Summerland,"$11,949","$50,284",Comedy,Icelandic,Grímur Hákonarson,,,1h 25m,,
2020/8/7,-,The Outpost,"$7,732","$176,863",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/8/7,-,The Wretched,"$7,642","$1,805,892",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/8/7,-,I Still Believe,"$7,328","$10,359,887","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/8/7,-,The Gentlemen,"$7,145","$36,359,349","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/8/7,-,What We Found,"$2,241","$6,172",Mystery & thriller,English,Ben Hickernell,"Jul 31, 2020",$6.8K,1h 50m,,"Reconstruction Pictures, Create Entertainment"
2020/8/7,-,Killer Raccoons 2: Dark Christmas in the Dark,"$1,839","$6,315","Holiday, Comedy, Action",English,Travis Irvine,,$15.1K,1h 36m,,"Overbites Pictures, Studio Vista"
2020/8/7,-,Followed,$488,"$538,179",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/8/7,-,The Truth,$265,"$9,619",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
2020/8/14,1,The SpongeBob Movie: Sponge on the Run,"$1,507,001","$1,507,001","Kids & family, Comedy, Adventure, Animation",English,Tim Hill,,$4.5M,1h 31m,,"Netflix, United Plankton Pictures, Paramount Animation, Media Rights Capital (MRC), Nickelodeon Movies, Nickelodeon Animation Studios"
2020/8/14,2,Unhinged,"$1,001,601","$1,001,601","Horror, Mystery & thriller",English,Don Gronquist,,,1h 19m,,
2020/8/14,-,The Tax Collector,"$261,113","$691,536","Mystery & thriller, Crime, Drama",English,David Ayer,"Aug 7, 2020",$942.7K,1h 35m,RLJE Films,"Kodiak Pictures, Cedar Creek Productions, Faster Horse Pictures, Cross Creek Pictures"
2020/8/14,-,Train to Busan Presents: Peninsula,"$141,916","$336,002","Horror, Mystery & thriller, Action",Korean,Yeon Sang-ho,"Aug 21, 2020",$1.2M,1h 56m,Well Go USA Entertainment,"Movic Comics, RedPeter Film, Next Entertainment World"
2020/8/14,-,The Rental,"$137,678","$1,416,954","Horror, Comedy",English,"Mike Campbell, Todd Johnson",,,1h 35m,,3 Roses Entertainment
2020/8/14,-,Murder in the Woods,"$74,295","$74,295","Horror, Mystery & thriller",English,Luis Iga,"Aug 14, 2020",,1h 30m,Rezinate Entertainment,Rezinate Entertainment
2020/8/14,-,The Silencing,"$70,232","$70,232",Mystery & thriller,English,Robin Pront,"Aug 14, 2020",$93.8K,1h 33m,Saban Films,"Wildling Pictures, Anova Pictures, Silencing Canada Productions, Madrona Drive"
2020/8/14,-,The Big Ugly,"$33,974","$514,107","Crime, Drama",English,Scott Wiper,,$502.4K,1h 46m,,4G Vision
